i,x,y,yaw
0,0.000000000000000,0.000000000000000,0.000000000000000
1,0.100000000000000,0.000000000000000,0.000000000000000
2,0.200000000000000,0.000000000000000,-0.000175019317340
3,0.299999998468412,-0.000017501931645,-0.000523537966018
4,0.399999984763812,-0.000069855725855,-0.001044036963247
5,0.499999930263158,-0.000174259403213,-0.001734998275527
6,0.599999779752245,-0.000347759143720,-0.002594904765917
7,0.699999443075897,-0.000607249329097,-0.003622240142517
8,0.799998787045432,-0.000969472551249,-0.004815488908132
9,0.899997627601001,-0.001451019580963,-0.006173136311104
10,0.999995722226456,-0.002068329291356,-0.007693668297315
11,1.099992762614462,-0.002837688530982,-0.009375571463321
12,1.199988367579643,-0.003775231941953,-0.011217333010638
13,1.299982076217619,-0.004896941718817,-0.013217440701138
14,1.399973341307852,-0.006218647304323,-0.015374382813557
15,1.499961522958304,-0.007756025018591,-0.017686648101106
16,1.599945882489975,-0.009524597618587,-0.020152725750158
17,1.699925576559472,-0.011539733785140,-0.022771105340021
18,1.799899651517809,-0.013816647535122,-0.025540276803764
19,1.899867038003738,-0.016370397556736,-0.028458730390094
20,1.999826545769964,-0.019215886466187,-0.031524956626277
21,2.099776858740663,-0.022367859984370,-0.034737446282083
22,2.199716530298797,-0.025840906032476,-0.038094690334746
23,2.299643978801776,-0.029649453745779,-0.041595179934932
24,2.399557483324075,-0.033807772405118,-0.045237406373702
25,2.499455179625475,-0.038329970285921,-0.049019861050452
26,2.599335056343650,-0.043229993424874,-0.052941035441829
27,2.699194951409850,-0.048521624304624,-0.056999421071612
28,2.799032548686513,-0.054218480457177,-0.061193509481535
29,2.898845374825632,-0.060334012986895,-0.065521792203054
30,2.998630796346771,-0.066881505014272,-0.069982760730047
31,3.098386016933638,-0.073874070041888,-0.074574906492422
32,3.198108074948147,-0.081324650244191,-0.079296720830645
33,3.297793841160920,-0.089246014682989,-0.084146694971158
34,3.397440016697205,-0.097650757450729,-0.089123320002682
35,3.497043131197164,-0.106551295743896,-0.094225086853408
36,3.596599541189521,-0.115959867869021,-0.099450486269041
37,3.696105428677535,-0.125888531184025,-0.104798008791707
38,3.795556799936250,-0.136349159977803,-0.110266144739708
39,3.894949484519978,-0.147353443291109,-0.115853384188108
40,3.994279134478928,-0.158912882682036,-0.121558216950144
41,4.093541223783877,-0.171038789939490,-0.127379132559460
42,4.192731047957750,-0.183742284748247,-0.133314620253135
43,4.291843723912925,-0.197034292309352,-0.139363168955517
44,4.390874189993042,-0.210925540919713,-0.145523267262835
45,4.489817206218045,-0.225426559514932,-0.151793403428591
46,4.588667354731128,-0.240547675179506,-0.158172065349713
47,4.687419040446196,-0.256299010628680,-0.164657740553462
48,4.786066491894383,-0.272690481666313,-0.171248916185093
49,4.884603762268100,-0.289731794623271,-0.177944078996240
50,4.983024730661010,-0.307432443780908,-0.184741715334035
51,5.081323103502246,-0.325801708784316,-0.191640311130934
52,5.179492416183093,-0.344848652050105,-0.198638351895257
53,5.277526034874282,-0.364582116173531,-0.205734322702413
54,5.375417158531934,-0.385010721339872,-0.212926708186822
55,5.473158821090098,-0.406142862744993,-0.220213992534502
56,5.570743893837725,-0.427986708030113,-0.227594659476325
57,5.668165087977822,-0.450550194735796,-0.235067192281933
58,5.765414957366398,-0.473841027780251,-0.242630073754288
59,5.862485901428737,-0.497866676967031,-0.250281786224869
60,5.959370168250373,-0.522634374527239,-0.258020811549490
61,6.056059857840075,-0.548151112701373,-0.265845631104726
62,6.152546925561978,-0.574423641365907,-0.273754725784959
63,6.248823185733932,-0.601458465709746,-0.281746576000005
64,6.344880315388949,-0.629261843965621,-0.289819661673334
65,6.440709858196572,-0.657839785201508,-0.297972462240861
66,6.536303228540821,-0.687198047177097,-0.306203456650308
67,6.631651715751246,-0.717342134270312,-0.314511123361111
68,6.726746488483527,-0.748277295478812,-0.322893940344880
69,6.821578599245878,-0.780008522501371,-0.331350385086392
70,6.916138989067443,-0.812540547903946,-0.339878934585103
71,7.010418492304695,-0.845877843375189,-0.348478065357179
72,7.104407841581770,-0.880024618076060,-0.357146253438033
