i,x,y,yaw
0,0.000000000000000,0.000000000000000,0.000000000000000
1,0.100000000000000,0.000000000000000,0.000000000000000
2,0.200000000000000,0.000000000000000,-0.000072114844702
3,0.299999999739972,-0.000007211484464,-0.000215018786346
4,0.399999997428319,-0.000028713362933,-0.000427386142103
5,0.499999988295373,-0.000071451975842,-0.000707891286400
6,0.599999963239870,-0.000142241098570,-0.001055208643609
7,0.699999907566611,-0.000247761943348,-0.001468012681105
8,0.799999799813569,-0.000394563158731,-0.001944977902666
9,0.899999610666677,-0.000589060826369,-0.002484778842227
10,0.999999301960541,-0.000837538454903,-0.003086090057960
11,1.099998825763326,-0.001146146970836,-0.003747586126702
12,1.199998123544059,-0.001520904706297,-0.004467941638692
13,1.299997125420596,-0.001967697383646,-0.005245831192637
14,1.399995749486506,-0.002492278096935,-0.006079929391078
15,1.499993901215129,-0.003100267290252,-0.006968910836067
16,1.599991472939045,-0.003797152733036,-0.007911450125136
17,1.699988343403214,-0.004588289492477,-0.008906221847559
18,1.799984377390050,-0.005478899903137,-0.009951900580891
19,1.899979425414662,-0.006474073533983,-0.011047160887788
20,1.999973323488535,-0.007578767153017,-0.012190677313091
21,2.099965892949891,-0.008797804689744,-0.013381124381173
22,2.199956940358990,-0.010135877195712,-0.014617176593541
23,2.299946257456625,-0.011597542803405,-0.015897508426682
24,2.399933621184051,-0.013187226683759,-0.017220794330157
25,2.499918793762618,-0.014909221002609,-0.018585708724919
26,2.599901522831342,-0.016767684876369,-0.019990926001864
27,2.699881541640671,-0.018766644327281,-0.021435120520598
28,2.799858569300685,-0.020909992238534,-0.022916966608418
29,2.899832311081996,-0.023201488309624,-0.024435138559500
30,2.999802458767561,-0.025644759012255,-0.025988310634283
31,3.099768691053681,-0.028243297547152,-0.027575157059042
32,3.199730673998411,-0.031000463802109,-0.029194352025655
33,3.299688061515619,-0.033919484311618,-0.030844569691537
34,3.399640495912935,-0.037003452218413,-0.032524484179750
35,3.499587608471837,-0.040255327237255,-0.034232769579277
36,3.599529020068079,-0.043677935621291,-0.035968099945450
37,3.699464341830722,-0.047273970131293,-0.037729149300530
38,3.799393175837975,-0.051045990008087,-0.039514591634429
39,3.899315115848091,-0.054996420948473,-0.041323100905567
40,3.999229748063532,-0.059127555084903,-0.043153351041855
41,4.099136651926630,-0.063441550969199,-0.045004015941810
42,4.199035400944969,-0.067940433560564,-0.046873769475770
43,4.298925563544708,-0.072626094218115,-0.048761285487230
44,4.398806703950061,-0.077500290698168,-0.050665237794269
45,4.498678383087158,-0.082564647156468,-0.052584300191077
46,4.598540159510500,-0.087820654155561,-0.054517146449567
47,4.698391590350224,-0.093269668677457,-0.056462450321063
48,4.798232232278398,-0.098912914141735,-0.058418885538068
49,4.898061642492556,-0.104751480429210,-0.060385125816091
50,4.997879379714691,-0.110786323911262,-0.062359844855539
51,5.097685005203914,-0.117018267484896,-0.064341716343652
52,5.197478083781006,-0.123448000613596,-0.066329413956492
53,5.297258184863066,-0.130076079373999,-0.068321611360965
54,5.397024883506469,-0.136902926508384,-0.070316982216877
55,5.496777761456371,-0.143928831482973,-0.072314200179004
56,5.596516408200943,-0.151153950551989,-0.074311938899194
57,5.696240422028585,-0.158578306827396,-0.076308872028468
58,5.795949411086322,-0.166201790354241,-0.078303673219126
59,5.895642994437604,-0.174024158191468,-0.080295016126848
60,5.995320803117743,-0.182045034498054,-0.082281574412790
61,6.094982481185199,-0.190263910624314,-0.084262021745652
62,6.194627686766952,-0.198680145208152,-0.086235031803727
63,6.294256093096188,-0.207292964276065,-0.088199278276918
64,6.393867389540530,-0.216101461348640,-0.090153434868712
65,6.493461282619046,-0.225104597550268,-0.092096175298109
66,6.593037497006287,-0.234301201722795,-0.094026173301503
67,6.692595776521578,-0.243689970542791,-0.095942102634494
68,6.792135885101816,-0.253269468642083,-0.097842637073638
69,6.891657607756034,-0.263038128731203,-0.099726450418121
70,6.991160751499964,-0.272994251725364,-0.101592216491357
71,7.090645146268865,-0.283136006872551,-0.103438609142487
72,7.190110645806881,-0.293461431883315,-0.105264302247792
