i,x,y,yaw
0,0.000000000000000,0.000000000000000,0.000000000000000
1,0.100000000000000,0.000000000000000,0.000000000000000
2,0.200000000000000,0.000000000000000,0.000722780238887
3,0.299999973879438,0.000072278017596,0.002154693715464
4,0.399999741744277,0.000287747222415,0.004282158510125
5,0.499998824901603,0.000715961764738,0.007091649875518
6,0.599996310337243,0.001425120808143,0.010569692733494
7,0.699990724469023,0.002482070401116,0.014702854564541
8,0.799979915967118,0.003952302885245,0.019477738676863
9,0.899960947451624,0.005899953596777,0.024880977843083
10,0.999929995895499,0.008387794674128,0.030899228293341
11,1.099882261578135,0.011477225836624,0.037519164054221
12,1.199811885450784,0.015228262049589,0.044727471623607
13,1.299711874789560,0.019699518037840,0.052510844972110
14,1.399574037024636,0.024948189654106,0.060855980862220
15,1.499388921645350,0.031030032150710,0.069749574476797
16,1.599145770090106,0.037999335442292,0.079178315348914
17,1.698832473537059,0.045908896484419,0.089128883585415
18,1.798435538516595,0.054809988927616,0.099587946376848
19,1.897940060269388,0.064752330238797,0.110542154786732
20,1.997329703774456,0.075784046512139,0.121978140813295
21,2.096586692369992,0.087951635219255,0.133882514717039
22,2.195691803885942,0.101299926173949,0.146241862607638
23,2.294624374201324,0.115872041009896,0.159042744283776
24,2.393362308131241,0.131709351490261,0.172271691319633
25,2.491882097538458,0.148851436986419,0.185915205391793
26,2.590158846552491,0.167336041478613,0.199959756840369
27,2.688166303765412,0.187199030444459,0.214391783458154
28,2.785876901258289,0.208474348011653,0.229197689501608
29,2.883261800295362,0.231193974759008,0.244363844917427
30,2.980290943505065,0.255387886554974,0.259876584778423
31,3.076933113347867,0.281084014825108,0.275722208922364
32,3.173155996650963,0.308308208639411,0.291886981787321
33,3.268926254969263,0.337084199007185,0.308357132437004
34,3.364209600511107,0.367433565760932,0.325118854769450
35,3.458970877346038,0.399375707401931,0.342158307902290
36,3.553174147590838,0.432927814268492,0.359461616727736
37,3.646782782249370,0.468104845373542,0.377014872630262
38,3.739759556361557,0.504919509241236,0.394804134359839
39,3.832066748097583,0.543382249052755,0.412815429053430
40,3.923666241415083,0.583501232389540,0.431034753397331
41,4.014519631880223,0.625282345837949,0.449448074922767
42,4.104588335238105,0.668729194692956,0.468041333427058
43,4.193833698304323,0.713843107970114,0.486800442512490
44,4.282217111737744,0.760623148904865,0.505711291234915
45,4.369700124245018,0.809066131086520,0.524759745853963
46,4.456244557760025,0.859166640341083,0.543931651676636
47,4.541812623136574,0.910917062442885,0.563212834985923
48,4.626367035890385,0.964307616699777,0.582589105045979
49,4.709871131526676,1.019326395420912,0.602046256175291
50,4.792288979992741,1.075959409239927,0.621570069879200
51,4.873585498800685,1.134190638230132,0.641146317033008
52,4.953726564374060,1.194002088712159,0.660760760106901
53,5.032679121183477,1.255373855618903,0.680399155423795
54,5.110411288250298,1.318284190247610,0.700047255441210
55,5.186892462614246,1.382709573194950,0.719690811048221
56,5.262093419380016,1.448624792238148,0.739315573868522
57,5.335986407979679,1.516003024893880,0.758907298560632
58,5.408545244311682,1.584815925356989,0.778451745106254
59,5.479745398443369,1.655033715493279,0.797934681077864
60,5.549564077592059,1.726625279534947,0.817341883876580
61,5.617980304129485,1.799558262103737,0.836659142931429
62,5.684974988385771,1.873799169165819,0.855872261851209
63,5.750530996061692,1.949313471503817,0.874967060520150
64,5.814633210091622,2.026065710275471,0.893929377128709
65,5.877268586833921,2.104019604215096,0.912745070130898
66,5.938426206500433,2.183138158023456,0.931400020119638
67,5.998097317771866,2.263383771483833,0.949880131611748
68,6.056275376580891,2.344718348836971,0.968171334734286
69,6.112956079079546,2.427103407945155,0.986259586804091
70,6.168137388841722,2.510500188775897,1.004130873792485
71,6.221819558384825,2.594869760738458,1.021771211667245
72,6.274005145126961,2.680173128411598,1.039166647604085
73,6.324699021926927,2.766371335208433,1.056303261060023
74,6.373908382383627,2.853425564533851,1.073167164701157
75,6.421642741099175,2.941297238001559,1.089744505177516
76,6.467913929135574,3.029948110291121,1.106021463737778
77,6.512736084918379,3.119340360240330,1.121984256676808
78,6.556125640861991,3.209436677784480,1.137619135609081
