i,x,y,yaw
0,0.000000000000000,0.000000000000000,0.000000000000000
1,0.100000000000000,0.000000000000000,0.000000000000000
2,0.200000000000000,0.000000000000000,0.000162515314065
3,0.299999998679439,0.000016251531335,0.000485779173054
4,0.399999986880369,0.000064829446730,0.000968025597325
5,0.499999940026694,0.000161631991344,0.001607489343161
6,0.599999810825623,0.000322380856430,0.002402405850699
7,0.699999522248068,0.000562621210407,0.003351011193339
8,0.799998960784793,0.000897721702584,0.004451542028622
9,0.899997969975107,0.001342874435234,0.005702235550546
10,0.999996344204999,0.001913094900111,0.007101329443321
11,1.099993822771602,0.002623221875923,0.008647061836518
12,1.199990084210977,0.003487917283693,0.010337671261627
13,1.299984740886207,0.004521665997279,0.012171396609967
14,1.399977333832877,0.005738775606733,0.014146477091975
15,1.499967327859042,0.007153376132522,0.016261152197811
16,1.599954106896835,0.008779419688979,0.018513661659297
17,1.699936969602934,0.010630680095680,0.020902245413155
18,1.799915125205111,0.012720752435791,0.023425143565528
19,1.899887689592171,0.015063052560701,0.026080596357775
20,1.999853681644594,0.017670816540590,0.028866844133513
21,2.099812019803253,0.020557100060846,0.031782127306892
22,2.199761518873591,0.023734777764529,0.034824686332097
23,2.299700887062703,0.027216542541353,0.037992761674037
24,2.399628723246753,0.031014904763895,0.041284593780231
25,2.499543514466217,0.035142191471997,0.044698423053854
26,2.599443633646436,0.039610545506553,0.048232489827936
27,2.699327337540986,0.044431924594102,0.051885034340694
28,2.799192764895390,0.049618100383853,0.055654296711990
29,2.899037934828685,0.055180657438971,0.059538516920877
30,2.998860745430372,0.061130992184158,0.063535934784242
31,3.098658972570271,0.067480311811725,0.067644789936512
32,3.198430268918799,0.074239633148531,0.071863321810417
33,3.298172163175160,0.081419781486339,0.076189769618785
34,3.397882059500948,0.089031389378277,0.080622372337360
35,3.497557237156621,0.097084895404236,0.085159368688626
36,3.597194850338284,0.105590542908176,0.089798997126615
37,3.696791928212204,0.114558378710438,0.094539495822691
38,3.796345375144420,0.123998251798266,0.099379102652285
39,3.895851971122809,0.133919811997843,0.104316055182577
40,3.995308372368883,0.144332508631271,0.109348590661094
41,4.094711112136611,0.155245589161966,0.114474946005220
42,4.194056601695431,0.166668097832061,0.119693357792599
43,4.293341131494648,0.178608874295444,0.125002062252411
44,4.392560872506293,0.191076552250144,0.130399295257503
45,4.491711877743505,0.204079558073807,0.135883292317375
46,4.590790083951413,0.217626109466070,0.141452288571984
47,4.689791313467437,0.231724214101641,0.147104518786359
48,4.788711276247874,0.246381668297956,0.152838217346018
49,4.887545572057546,0.261606055701269,0.158651618253159
50,4.986289692819246,0.277404745995057,0.164542955123614
51,5.084939025119604,0.293784893634612,0.170510461184551
52,5.183488852867982,0.310753436611689,0.176552369272907
53,5.281934360104878,0.328317095253049,0.182666911834535
54,5.380270633956270,0.346482371056738,0.188852320924050
55,5.478492667730261,0.365255545569879,0.195106828205354
56,5.576595364152306,0.384642679311726,0.201428664952831
57,5.674573538735203,0.404649610745690,0.207816062053191
58,5.772421923280009,0.425281955303971,0.214267250007944
59,5.870135169503905,0.446545104468394,0.220780458936495
60,5.967707852790997,0.468444224910933,0.227353918579839
61,6.065134476061979,0.490984257697382,0.233985858304837
62,6.162409473758461,0.514169917557505,0.240674507109064
63,6.259527215937755,0.538005692224927,0.247418093626211
64,6.356482012473796,0.562495841849927,0.254214846132012
65,6.453268117359842,0.587644398488176,0.261062992550703
66,6.549879733108515,0.613455165668380,0.267960760461972
67,6.646311015244685,0.639931718041646,0.274906377108405
68,6.742556076886655,0.667077401115267,0.281898069403391
69,6.838608993411023,0.694895331073530,0.288934063939489
70,6.934463807196580,0.723388394687963,0.296012586997227
71,7.030114532442522,0.752559249319345,0.303131864554318
72,7.125555160056227,0.782410323013639,0.310290122295287
73,7.220779662605802,0.812943814693860,0.317485585621475
74,7.315781999332573,0.844161694449750,0.324716479661420
75,7.410556121218653,0.876065703926966,0.331981029281590
76,7.505095976104695,0.908657356817335,0.339277459097446
77,7.599395513852911,0.941937939451549,0.346603993484834
78,7.693448691550444,0.975908511495545,0.353958856591675
