step,horizon_index,xref_x,xref_y,xref_v,xref_yaw,pred_x,pred_y,pred_v,pred_yaw
71,0,28.941062131834688,0.916785625203228,2.777777777777778,2.544921919054026,30.487862643254495,3.095571024531866,1.755321666021252,2.434972375492353
71,1,28.941062131834688,0.916785625203228,2.777777777777778,2.544921919054026,30.220856958284337,3.323505511263801,1.955321664108068,2.545262488369287
71,2,28.387238737125031,1.274403960766942,2.777777777777778,2.587580273292891,29.897140575238453,3.543227838715046,2.155321661953848,2.668118971642318
71,3,28.387238737125031,1.274403960766942,2.777777777777778,2.587580273292891,29.512703133474417,3.740150191165481,2.355321658727551,2.803541825234185
71,4,28.387238737125031,1.274403960766942,2.777777777777778,2.587580273292891,29.065998671864424,3.897017223713914,2.555321649970817,2.951531047955303
71,5,27.746027874214722,1.657608713384614,2.777777777777778,2.615811171700940,28.559072871753191,3.994054674073639,2.716549497393538,3.100470310786314
72,0,28.941062131834688,0.916785625203228,2.777777777777778,2.544921919054026,30.220856958284273,3.323505511263833,1.955321664108452,2.575398108501600
72,1,28.941062131834688,0.916785625203228,2.777777777777778,2.544921919054026,29.890818832616155,3.533281935131561,2.155321663754809,2.698254591987974
72,2,28.387238737125031,1.274403960766942,2.777777777777778,2.587580273292891,29.501206053919113,3.718289332808212,2.355321663347086,2.833677446048919
72,3,28.387238737125031,1.274403960766942,2.777777777777778,2.587580273292891,29.051163856576569,3.861358513630617,2.555321662640280,2.981666670687680
72,4,27.746027874214722,1.657608713384614,2.777777777777778,2.615811171700940,28.543484966119692,3.943013145797901,2.755321597069915,3.142222263223612
72,5,27.746027874214722,1.657608713384614,2.777777777777778,2.615811171700940,27.985851458676994,3.941981261930547,2.816549670481181,3.297239601562738
73,0,28.387238737125031,1.274403960766942,2.777777777777778,2.587580273292891,29.890818832616070,3.533281935131552,2.155321663755090,2.731823841588374
73,1,28.387238737125031,1.274403960766942,2.777777777777778,2.587580273292891,29.495441043471835,3.705016797117981,2.355321662479992,2.867246695416211
73,2,27.746027874214722,1.657608713384614,2.777777777777778,2.615811171700940,29.041680812670595,3.832716009602911,2.555321660409251,3.015235919548250
73,3,27.746027874214722,1.657608713384614,2.777777777777778,2.615811171700940,28.533163029109133,3.897235118298966,2.755321655556663,3.175791514444184
73,4,27.025250293779735,2.066144795139826,2.777777777777778,2.634462746003995,27.978394650041917,3.877927644235415,2.905656358100945,3.329415855199862
73,5,27.025250293779735,2.066144795139826,2.777777777777778,2.634462746003995,27.401066694163731,3.767697158876544,2.879300748669129,3.467768590986591
74,0,28.387238737125031,1.274403960766942,2.777777777777778,2.587580273292891,29.495441043471789,3.705016797118114,2.355321662479994,2.904249574144904
74,1,28.387238737125031,1.274403960766942,2.777777777777778,2.587580273292891,29.037582480114601,3.815773924701238,2.555321662179433,3.052238798745093
74,2,27.746027874214722,1.657608713384614,2.777777777777778,2.615811171700940,28.528139996402516,3.861404803097301,2.755321661623467,3.212794393936932
74,3,27.746027874214722,1.657608713384614,2.777777777777778,2.615811171700940,27.976529817448245,3.821952421256548,2.955321646671808,3.385916329090800
74,4,27.025250293779735,2.066144795139826,2.777777777777778,2.634462746003995,27.398182391841292,3.677305896462078,2.962565149910267,3.546846187992377
74,5,27.025250293779735,2.066144795139826,2.777777777777778,2.634462746003995,26.846867333812408,3.439908369978140,2.871982341444935,3.683391106733829
75,0,27.746027874214722,1.657608713384614,2.777777777777778,2.615811171700940,29.037582480114633,3.815773924700736,2.555321662179444,3.092675307077599
75,1,27.025250293779735,2.066144795139826,2.777777777777778,2.634462746003995,28.527129490412527,3.840763866523892,2.755321662124579,3.207641067142419
75,2,27.025250293779735,2.066144795139826,2.777777777777778,2.634462746003995,27.976795579388138,3.804349136114007,2.955321661982562,3.308522042381720
75,3,26.232726746496056,2.499757118116160,2.777777777777778,2.646329056016381,27.392314838387758,3.705780688303695,3.154949601055124,3.391967200625691
75,4,26.232726746496056,2.499757118116160,2.777777777777778,2.646329056016381,26.777902427743353,3.547962330090222,3.095621866289306,3.454206605778240
75,5,25.376277983039653,2.958190594397199,2.777777777777778,2.653104280632958,26.184119418583780,3.355144266828264,2.921867905174394,3.489624562748851
76,0,27.746027874214722,1.657608713384614,2.777777777777778,2.615811171700940,28.527129490412502,3.840763866524043,2.755321662124578,3.221519852875870
