step,horizon_index,x,y,v,yaw
75,0,29.037582480114636,3.815773924700736,2.5553216621794443,3.0926753070775987
75,1,28.527129490412534,3.840763866523892,2.7553216618788965,3.29710103998011
75,2,27.982714896326026,3.7554137161878507,2.955321661322955,3.5175267728288886
75,3,27.43292749809916,3.5384094267686756,3.1553216463713247,3.7539524399135775
75,4,26.91653141189335,3.1756736140430837,3.162565149609796,3.958362709905189
75,5,26.483526145102395,2.7146105251362056,3.0719823411444653,4.122666179490982
78,0,27.39635183776267,3.690715343715656,3.1553216604928345,3.307411595480136
78,1,26.773943492338017,3.5865518050240626,3.3553216600243143,3.2918441709526607
78,2,26.110439733219852,3.4861023185883595,3.408351300682573,3.246785257177928
78,3,25.43253750219848,3.414527820819743,3.2953271216867046,3.171018872549004
78,4,24.77375740042569,3.3951368160702815,3.1684333610278004,3.0670194452937873
78,5,24.14183192936205,3.4423490766807614,3.0413821312725795,2.955931599185492
