x,y
6.000000000000000,10.000000000000000
6.000000000000000,10.000000000000000
6.400817651766669,8.626521015672687
7.265550568236296,8.124289014328753
8.026787802186290,8.166577589609151
9.010551348011946,8.346047046354673
10.010320477215501,8.367533979397024
11.641156997735122,7.772781543410348
11.107541591800238,6.927054283267370
11.964410632643524,6.411520145848415
12.434596836433506,5.528952905483372
12.240773049828425,4.547916545430358
12.258488568084976,3.548073477537750
12.410495670569444,2.559694076298390
12.105226205468631,1.607428066363632
11.194208808984785,1.195060144109981
10.197530302434016,1.276496957528290
9.506069074056860,0.554083385084393
8.543112538843181,0.823740039534573
7.563819063417895,0.621294271513934
6.563850305254320,0.613389671789886
5.747492597577650,0.803942711853747
4.862491097995910,1.210067322286158
3.885099400000645,1.421504000017185
2.912922340312151,1.655751229702901
2.090229945506907,2.224238013656243
1.112322218813116,2.433275039258365
0.340848395898016,1.797013976048647
-0.227015105864128,0.973891237104790
0.000000000000000,0.000000000000000
