x,y
5.0,5.0
6,6
7,7
8,8
9,9
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
9,20
9,21
10,22
11,23
12,24
13,24
12,25
12,26
11,27
11,28
10,29
9,30
9,31
9,32
9,33
9,34
9,35
9,36
9,37
9,38
9,39
9,40
9,41
10,42
11,43
12,44
13,44
14,44
15,45
16,45
17,45
18,45
19,45
20,45
21,45
22,45
23,45
24,45
25,45
26,45
27,45
28,45
29,44
29,43
29,42
29,41
29,40
30,39
31,39
32,39
33,39
34,39
35,40
35,41
35,42
35,43
35,44
35.0,45.0
